               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.035421,            0.025751,           0.0041958,             0.84452,             0.74282,             0.80916,             0.48666,            0.031959,            0.018065,           0.0051629,            0.004522,            0.004522,            0.004522
                  85,            0.036621,            0.026455,           0.0049168,             0.84536,              0.7216,             0.78326,             0.45445,            0.032972,            0.018383,           0.0055567,            0.004456,            0.004456,            0.004456
                  86,            0.034719,            0.026044,           0.0052099,             0.86627,             0.75051,             0.81676,             0.48942,            0.031482,            0.017669,           0.0046778,             0.00439,             0.00439,             0.00439
                  87,            0.035937,            0.025598,           0.0042094,             0.89523,             0.71361,             0.80032,             0.48377,            0.032227,            0.017984,           0.0051991,            0.004324,            0.004324,            0.004324
                  88,            0.034888,             0.02445,           0.0041222,             0.87187,             0.72377,             0.80764,             0.48622,             0.03201,             0.01801,           0.0052768,            0.004258,            0.004258,            0.004258
                  89,            0.035761,            0.027423,           0.0040135,             0.82445,             0.73817,             0.79669,             0.47813,             0.03185,            0.018312,           0.0047592,            0.004192,            0.004192,            0.004192
                  90,             0.03448,            0.025532,           0.0035233,             0.83613,             0.75319,             0.79921,             0.48094,            0.031187,            0.017973,            0.004935,            0.004126,            0.004126,            0.004126
                  91,            0.034379,            0.026013,           0.0043424,             0.82705,             0.74416,             0.79822,             0.48172,            0.032332,            0.018076,           0.0050316,             0.00406,             0.00406,             0.00406
                  92,            0.035325,            0.027297,           0.0044844,             0.86279,             0.71191,             0.79228,             0.47455,            0.031622,            0.018035,           0.0050553,            0.003994,            0.003994,            0.003994
                  93,            0.033646,            0.023148,           0.0036494,             0.87339,             0.71984,             0.80423,             0.47875,            0.032063,            0.018128,           0.0051377,            0.003928,            0.003928,            0.003928
                  94,            0.033722,            0.023748,            0.004111,             0.87531,             0.74238,             0.80652,             0.46911,            0.031827,            0.018292,           0.0051921,            0.003862,            0.003862,            0.003862
                  95,            0.035075,            0.025145,           0.0045803,             0.86393,             0.75593,             0.80376,               0.485,            0.031447,            0.017876,           0.0047368,            0.003796,            0.003796,            0.003796
                  96,            0.033254,             0.02289,           0.0035118,             0.84416,             0.75518,             0.81127,             0.47515,            0.032735,             0.01817,           0.0048349,             0.00373,             0.00373,             0.00373
                  97,            0.033255,            0.023644,            0.004187,             0.84727,              0.7325,             0.80935,             0.49576,            0.031164,            0.017877,           0.0050821,            0.003664,            0.003664,            0.003664
                  98,             0.03439,            0.026137,           0.0041564,             0.85518,             0.73398,             0.79599,              0.4865,            0.031301,            0.018165,           0.0049372,            0.003598,            0.003598,            0.003598
                  99,            0.033766,            0.024946,           0.0038375,             0.88698,             0.73592,             0.80456,              0.4816,            0.031542,            0.018085,           0.0049097,            0.003532,            0.003532,            0.003532
                 100,            0.034452,            0.026293,           0.0041141,             0.88898,             0.72902,             0.80541,             0.47972,            0.032209,            0.018311,            0.005875,            0.003466,            0.003466,            0.003466
                 101,            0.033532,            0.025584,           0.0036386,             0.85104,             0.73671,             0.79287,             0.48128,            0.031579,            0.018039,           0.0052265,              0.0034,              0.0034,              0.0034
                 102,             0.03405,             0.02447,            0.003326,             0.83978,             0.73822,             0.79299,             0.47186,            0.031665,            0.018023,           0.0049205,            0.003334,            0.003334,            0.003334
                 103,            0.033224,            0.024471,           0.0042414,             0.86781,             0.72606,             0.80653,             0.49039,            0.030758,            0.017881,           0.0049219,            0.003268,            0.003268,            0.003268
                 104,            0.033832,            0.024077,           0.0038407,             0.83041,             0.73561,             0.80009,             0.48285,            0.031806,            0.018086,           0.0055214,            0.003202,            0.003202,            0.003202
                 105,            0.033173,            0.025265,           0.0036038,             0.86111,             0.75671,             0.81549,             0.48955,            0.031016,            0.017755,           0.0050998,            0.003136,            0.003136,            0.003136
                 106,               0.034,            0.024032,           0.0036089,             0.85004,             0.76515,             0.81802,             0.49945,            0.030784,            0.017646,           0.0045996,             0.00307,             0.00307,             0.00307
                 107,            0.032839,            0.023537,           0.0040132,             0.86126,             0.74829,             0.81265,              0.4804,             0.03094,            0.017356,           0.0052367,            0.003004,            0.003004,            0.003004
                 108,            0.033272,            0.024831,           0.0036607,             0.85436,             0.74211,              0.8059,             0.47722,             0.03164,            0.017614,           0.0052886,            0.002938,            0.002938,            0.002938
                 109,             0.03229,            0.023636,           0.0033872,              0.8665,             0.73856,             0.81377,             0.49722,            0.030267,            0.017482,           0.0049487,            0.002872,            0.002872,            0.002872
                 110,            0.032363,            0.024039,            0.003441,             0.86893,             0.74629,             0.80899,             0.48748,            0.031554,            0.017936,           0.0048331,            0.002806,            0.002806,            0.002806
                 111,            0.033166,            0.025069,           0.0038988,             0.82572,             0.77441,             0.81674,             0.48882,            0.030997,            0.017878,            0.005077,             0.00274,             0.00274,             0.00274
                 112,            0.031727,            0.023761,           0.0030055,             0.84526,             0.75402,             0.80371,             0.48647,            0.031363,            0.017628,            0.005705,            0.002674,            0.002674,            0.002674
                 113,            0.033211,            0.023067,           0.0032207,             0.84936,             0.74407,             0.80047,              0.4935,            0.030755,            0.017653,           0.0054126,            0.002608,            0.002608,            0.002608
                 114,            0.032299,            0.023646,           0.0033791,              0.8725,             0.75335,             0.81649,             0.49886,              0.0306,             0.01757,           0.0052277,            0.002542,            0.002542,            0.002542
                 115,            0.031781,            0.024553,           0.0033745,             0.88185,             0.73887,              0.8088,             0.49675,            0.030475,            0.017574,           0.0051479,            0.002476,            0.002476,            0.002476
